Date,AUM_9008,AUM_9042,AUM_9439
20-Dec-24,156400830,263538600,35724000
23-Dec-24,152073750,224502300,34808000
24-Dec-24,150178245,218425900,34350000
27-Dec-24,152569695,221893210,35037000
30-Dec-24,149377350,217270130,34121000
31-Dec-24,148173600,215485270,3389200
2-Jan-25,152779950,222200440,3503700
3-Jan-25,154463400,223956040,3526600
6-Jan-25,159164600,230758990,3641100
7-Jan-25,163173500,236552470,3732700
8-Jan-25,153078800,220557260,35037000
9-Jan-25,150213000,216442440,34350000
10-Jan-25,151275600,215420670,34579000
13-Jan-25,150035900,213638790,34350000
14-Jan-25,152128900,216627750,34808000
15-Jan-25,155848000,221915910,35495000
16-Jan-25,159760300,227491470,35495000
